SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2
,toast,0.33,1,0.59,0.6,0.49,0.23,0.09,0.01,0.02,0.25,0.04,0.12,0.07,0.09,0.02,0.05,0.18,0.12,0.05,-0.02,0.175263158,0.166666667,0.33,,,,
,bread,0.21,0.59,1,0.77,0.64,0.29,0.11,0.05,0.03,0.22,0.1,0.15,0.07,0.15,0.07,0.07,0.05,0.09,0.05,0.02,0.196315789,0.172352941,0.4,,,,
,butter,0.21,0.6,0.77,1,0.78,0.34,0.1,0.06,0.04,0.27,0.08,0.12,0.05,0.11,0.07,0.1,0.11,0.08,0.05,0.01,0.207894737,0.148125,0.526666667,,,,
,milk,0.12,0.49,0.64,0.78,1,0.6,0.21,0.18,0.04,0.23,0.05,0.05,0.05,0.07,0,0.01,0.07,0.05,0.02,0.01,0.193157895,0.109333333,0.5075,,,,
,cow,0.06,0.23,0.29,0.34,0.6,1,0.42,0.17,0.07,0.2,0.12,0.1,0.12,0.14,-0.04,0,0.08,0.15,0.03,0.04,0.164210526,0.114285714,0.304,,,,
,farm,0.03,0.09,0.11,0.1,0.21,0.42,1,0.14,0.06,0.18,0.15,0.17,0.05,0.07,0,0.02,0.03,0.14,0.08,0.04,0.11,0.086923077,0.16,,,,
,animals,0,0.01,0.05,0.06,0.18,0.17,0.14,1,0.2,0.24,0.21,0.09,0.16,0.18,-0.03,-0.02,0.02,0.13,0.14,0.01,0.102105263,0.110833333,0.087142857,,,,
,nature,0.05,0.02,0.03,0.04,0.04,0.07,0.06,0.2,1,0.2,0.14,0.09,0.1,0.08,-0.05,-0.03,0.05,0.14,0.18,0.08,0.078421053,0.089090909,0.06375,,,,
,outdoors,0.17,0.25,0.22,0.27,0.23,0.2,0.18,0.24,0.2,1,0.26,0.26,0.22,0.19,0.03,0.11,0.19,0.48,0.19,0.06,0.207894737,0.199,0.217777778,,,,
,trees,0.03,0.04,0.1,0.08,0.05,0.12,0.15,0.21,0.14,0.26,1,0.2,0.52,0.3,0.03,0.03,0.08,0.3,0.07,0.01,0.143157895,0.171111111,0.118,,,,
