SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,end,0.19,0.35,0.15,0.28,0.07,0.14,0.33,0.34,0.24,0.54,1,0.39,0.31,0.21,0.24,0.19,0.22,0.12,0.29,0.41,0.263684211,0.264444444,0.263,,,,
,next,0.28,0.56,0.11,0.28,0.07,0.36,0.4,0.42,0.43,0.43,0.39,1,0.38,0.24,0.14,0.13,0.25,0.24,0.32,0.65,0.32,0.29375,0.339090909,,,,
,top,0.23,0.38,0.15,0.14,0.1,0.21,0.3,0.26,0.25,0.23,0.31,0.38,1,0.25,-0.03,0.17,0.23,0.09,0.17,0.34,0.218947368,0.174285714,0.245,,,,
,corridor,0.09,0.38,-0.02,0.17,0.01,0.61,0.51,0.12,0.18,0.16,0.21,0.24,0.25,1,-0.03,0.27,0.13,0.01,0.09,0.26,0.191578947,0.121666667,0.223846154,,,,
,Shay,0.03,0.07,0.04,0.07,0.08,0,0.1,0.05,0.07,0.06,0.24,0.14,-0.03,-0.03,1,0.15,0.11,0.07,0.07,0.18,0.077368421,0.116,0.063571429,,,,
,wrists,0.04,0.29,-0.05,0.07,0.05,0.17,0.27,0.15,0.08,0.09,0.19,0.13,0.17,0.27,0.15,1,0.17,0.04,0.01,0.12,0.126842105,0.085,0.138,,,,
,board,0.24,0.23,0.07,0.11,0.1,0.07,0.13,0.21,0.19,0.16,0.22,0.25,0.23,0.13,0.11,0.17,1,0.19,0.15,0.18,0.165263158,0.173333333,0.16375,,,,
,write,0.04,0.13,0.07,0.08,0.02,0.04,0.07,0.12,0.15,0.27,0.12,0.24,0.09,0.01,0.07,0.04,0.19,1,0.08,0.16,0.104736842,0.12,0.102941176,,,,
,continue,0.1,0.23,0.07,0.34,0.23,0.03,0.21,0.19,0.29,0.43,0.29,0.32,0.17,0.09,0.07,0.01,0.15,0.08,1,0.28,0.188421053,0.28,0.183333333,,,,
,last,0.26,0.62,0.12,0.26,0.07,0.3,0.37,0.38,0.35,0.5,0.41,0.65,0.34,0.26,0.18,0.12,0.18,0.16,0.28,1,0.305789474,,0.305789474,,,,
,,,,,,,,,,,,,,,,,,,,,,0.197473684,0.193877022,0.188268588,,,,
